,Flux
0,181.79801493586945
1,374.0015394446936
2,647.0964732306704
3,898.294041990506
4,1027.134313297554
5,1034.8503137843404
6,996.0041236145793
7,968.1272891238001
8,969.8969432661052
9,988.7813162471907
10,993.9116968331089
11,976.902200842734
12,966.9117710622377
13,989.3827696301497
14,1028.2173381804055
15,1025.2320129317277
16,908.225350403329
17,668.1283338228793
18,394.9241647011222
19,195.03219067946858
20,190.33359527468122
21,390.3831973761133
22,674.0077608034611
23,932.6467125597267
24,1061.2606514102279
25,1065.505983485681
26,1027.0128125356716
27,1003.280760405358
28,1008.3254894445572
29,1028.019465846409
30,1032.909070663176
31,1015.3712257569957
32,1004.3891203861612
33,1026.2453361827802
34,1065.9113313164996
35,1063.1382686707047
36,942.1563891498572
37,693.7331222177532
38,411.5360178570232
39,204.66397042278095
40,192.12140060748388
41,392.734498521533
42,675.2224710831756
43,932.3992611856484
44,1061.167018438727
45,1066.8901623193337
46,1029.5628787001147
47,1005.8782923862294
48,1009.1333417781059
49,1025.6262737805964
50,1028.8244482604835
51,1012.0996071876488
52,1000.7313601776656
53,1018.4660140274843
54,1053.941389993904
55,1051.1228979128527
56,933.7412610938394
57,689.4847523926558
58,410.2296453406303
59,204.47088507546601
60,183.47098318365872
61,380.1535851812053
62,658.5674607705422
63,910.579301393396
64,1033.4844866756557
65,1034.8652768081645
66,996.132700432409
67,973.5281542437084
68,980.0085755210207
69,1000.6824421849403
70,1005.7388894381633
71,987.4857630722495
72,974.2525814130014
73,992.2550760118756
74,1029.592279204731
75,1029.2227461372822
76,914.4426810091337
77,672.9578216320638
78,396.9703992017546
79,195.06670318342643
80,170.0139539013329
81,355.09698004888395
82,617.8000690290204
83,860.1765699399367
84,985.8920874018077
85,993.6685625296507
86,954.1321891402837
87,927.6097487008627
88,936.7069279555603
89,963.6062174211532
90,969.2569804247653
91,947.0354488567986
92,935.4161845786197
93,962.4108360734593
94,1003.2275677561104
95,993.5518571584416
96,869.0867486406453
97,631.3747301478478
98,368.555236010276
99,178.49731492219055
100,154.33983347817983
101,326.73298263406014
102,570.7711632989542
103,798.834560533887
104,922.9828060785312
105,934.7047394721063
106,893.9634222713181
107,863.9240010314079
108,873.098320287343
109,900.0990283672078
110,902.6529835844476
111,877.6306882386044
