,Day,Month,Hour,DNI (w/m^2),Elavation angle,Azimuthal angle,DB temp,RH,Solar field design power,Tower height,Max allowable flux,H:D ratio
0,29.0,5.0,1.0,0.0,-80.66140123084222,137.04083710358242,5.6,56.6,378.8292727728052,201.83829627262443,0.9556626721404797,0.9744927591102538
1,21.0,10.0,21.0,0.0,-28.019838609410257,238.6560833357923,19.7,8.5,437.1146502456695,190.50950999131123,0.9294342228134835,0.927295791102828
2,4.0,1.0,3.0,0.0,-28.636135112003373,142.99082300361667,22.4,18.7,583.4014041734758,164.3110577267889,0.9766459222691575,0.9677807957811406
3,3.0,8.0,10.0,736.0,29.446538620626676,45.19672882966078,19.3,29.2,482.36965975128487,240.1709095892275,0.9345915558167528,0.9005454530544184
4,7.0,6.0,10.0,724.0,26.78958562324442,40.076625624538735,21.9,16.7,585.7228032938075,261.2954535858221,0.9209469396530168,0.9740490184244246
5,19.0,12.0,10.0,1078.0,55.425897223036905,90.47416594722156,27.7,26.3,324.7988839143112,255.33265167835543,0.9445481647820175,0.9343483298124682
6,10.0,3.0,7.0,867.0,5.055684804907102,92.29528551555626,23.7,27.5,460.00293232483943,258.6837545854496,0.981030632109542,0.9689618957170937
7,23.0,6.0,21.0,0.0,-41.28884447244502,277.2473531390015,14.6,36.1,311.84596293174553,151.47146134297782,0.9254088468740654,0.9210941972378903
8,14.0,6.0,20.0,0.0,-28.641572019589887,282.411971480413,6.8,56.4,554.8430055375316,178.60729695292076,0.9932773321691262,0.9965615084392814
9,27.0,11.0,10.0,1034.0,56.63140954825676,85.17951759155638,34.0,11.7,687.4270779376429,233.24016125582412,0.906646578623066,0.8950232709202344
10,14.0,3.0,20.0,0.0,-14.872240147756685,258.31013248380003,28.4,20.9,562.2302646672141,183.9644459504662,0.8849577532571445,0.9876456655545383
11,3.0,5.0,20.0,0.0,-26.27865539469947,273.9698586147417,17.2,36.1,377.42050879806084,167.32297126471983,0.9412317819462992,0.9256112945652852
12,23.0,7.0,23.0,0.0,-65.44673284326174,256.17875685144503,1.4,63.1,342.13335864571917,259.1210481850566,0.9453488939612524,0.9587181261288558
13,13.0,5.0,21.0,0.0,-40.687663502093756,270.0661979743856,16.1,19.6,596.5213936187708,156.2644883893561,0.950477738207824,0.9420523720840728
14,6.0,12.0,21.0,0.0,-18.755626938515803,230.08937101628496,21.9,10.7,499.78848645438546,155.54921539970616,0.9276744633708254,0.8895984211950028
15,14.0,11.0,6.0,933.0,4.1686108164118,108.22061881228231,12.7,54.2,422.3793514261812,225.58467420131703,0.9273060475326741,0.8929921929957161
16,28.0,11.0,15.0,144.0,54.025855409646304,272.8060248830724,39.1,9.2,390.8937780392595,161.4834089860685,0.9555153562308878,0.8857905674712897
17,16.0,11.0,15.0,941.0,52.356975260797874,276.4398813872432,32.9,10.2,549.2521902712871,169.01125643808484,0.9074469098525615,0.932034861539121
18,2.0,2.0,6.0,771.0,-2.2150324274790307,110.79170221858088,18.1,15.9,360.8298083771797,160.2033257224411,0.9440456242842958,0.9313733918591712
19,9.0,1.0,12.0,980.0,78.59477527954171,59.044305628830244,37.5,8.6,428.13632864854355,204.4166732966442,0.9894804882987657,0.9767338976954757
20,12.0,8.0,19.0,0.0,-11.336036457864694,281.33459581754767,16.6,20.1,462.1594650970072,153.42374207146497,0.9466971557304436,0.9536713753792346
21,15.0,7.0,7.0,458.0,-6.287475084092506,68.70775587094882,5.6,86.7,435.41361892820123,148.48751545798783,0.9837991067685223,0.8800894779038446
22,17.0,8.0,7.0,455.0,-2.183507369197045,75.55856845082296,11.7,61.1,454.40804121019323,235.06838875400587,0.9786825410636283,0.8895095702177107
23,11.0,8.0,6.0,96.0,-16.155191969763536,80.7718239078414,11.8,29.0,652.0093363179114,158.7353538463866,0.9742631255885023,0.899890199535826
24,7.0,5.0,16.0,403.0,22.50901317699187,305.165065517106,21.5,34.6,642.8829187553431,223.70034666628015,0.9151191133976311,0.8957751119868808
25,29.0,8.0,7.0,326.0,0.4368427398819392,78.70865932005296,17.5,45.5,345.3311231183966,169.89817223326884,0.9158246334514306,0.8841622880961806
26,4.0,6.0,4.0,0.0,-43.326450131163085,85.26714110728301,8.2,34.2,671.7438435014908,230.79508601591527,0.9607412251714587,0.9566403035349863
27,14.0,2.0,14.0,724.0,67.73402369782366,309.36706991506185,38.8,12.7,464.75174534191353,175.01567569119754,0.9109042663521194,0.9485693712329752
28,25.0,4.0,15.0,833.0,35.54841710265277,314.4173343791176,26.3,22.0,583.1916582465346,205.45244465604213,0.9212625694218295,0.986822100653372
29,8.0,6.0,16.0,210.0,18.70581664147116,310.4366288369287,15.3,53.7,526.8236094212787,195.77172782600974,0.9949681926518186,0.9752715300638438
