,FLux,T_ss_i,V_wind,T_amb,m_dot,H_rec
0,2252959.5997385546,751.7151180638346,11.696140708369077,312.2406711563422,4.704212569072574,16.104850676244045
1,2068161.372114757,758.2729586773361,2.876280960249912,295.2367194766891,10.778187406691226,16.881189773765467
2,203851.11846117672,593.6804431324042,5.763034197500928,308.59704465874336,9.081357806734866,13.175495959748373
3,811578.652063548,770.9861757447434,3.7020048627547477,291.69444528697994,7.949037952137031,18.08201747067403
4,2153069.7672897046,827.8801392293894,8.284985792609168,302.32773264613706,15.564947598185821,12.22166470363319
5,935770.6765929491,814.8001570401589,4.756445113575136,279.21482329350584,5.007177406484602,14.325375682441507
6,1768755.5306224255,717.466159944397,7.980444314402892,279.4493472157965,5.643743009457545,17.24360957645819
7,694772.4868900195,684.141533517332,2.9004840029600576,281.2352673196483,2.142582160470889,17.99758201097845
8,1260526.3314804672,742.5497482870477,11.009058281246897,301.64208083480025,21.81996231383657,16.911944381563497
9,407835.54912303115,679.3023412982019,8.192362629402526,279.2965864438148,4.669530347701818,15.97271986247458
10,2534174.302208556,615.833107295419,9.284574033882206,311.2184540990529,13.832210265186202,17.564894517865213
11,12333.914418406928,714.3082039039027,6.882064469151574,313.5083126423045,4.775692573990569,15.60982972102388
12,1461569.055646653,837.992528350115,12.552822733107474,313.352131400423,21.70300607890542,17.69039725243271
13,345015.9192994787,573.5129167899283,11.811370716520445,295.2829758105773,17.93025694805003,12.747325952373648
14,2526011.195949796,754.1551539496585,12.586392927484924,290.51360366381937,11.137647110661154,18.12437117009116
15,1549942.7238159569,793.4240179253486,6.4753294690343655,300.9978731165366,16.00005950876907,13.796599322764651
16,1110579.119403052,717.9729711883258,9.359338657305432,282.34625572327127,11.906293516223352,13.34717563409734
17,922708.7772342204,664.7236101222045,0.7730104625523868,270.7484677547933,15.109073164234509,12.634331218967358
18,1626659.4941951116,652.8336928554909,6.612621101706143,297.3909703685527,20.415325440299917,17.387350732425162
19,2568813.1936086966,575.9596799232884,4.378505992716576,280.2080100216351,23.159906810955643,12.47057277818228
20,2089327.5357749667,821.5166136439391,12.150931192264427,297.92968529840067,5.918233143841315,13.550385738118065
21,156496.62271929072,662.8373369543733,11.129835344870369,296.4781229484765,15.707688129869059,14.724206682111056
22,2814418.9755127756,565.4572563274896,13.476942377465978,272.40195347807605,13.407722166733022,17.027575042894192
23,2933453.348167113,787.9449998270852,1.535222943990527,296.22657878998484,19.261186838177704,11.883067694520618
24,1428761.6559110119,745.382703889683,6.7722889798759045,289.2978673901351,24.980874565611746,12.61906942578663
25,1675717.6553831142,759.876849894318,4.157547947075752,304.01485829987234,8.89810993343872,11.415424130086206
26,627565.329122446,730.0074265778135,4.27160342790215,269.203210580409,3.373078332265677,15.022113339979263
