,Day,Month,Hour,DNI (w/m^2),Elavation angle,Azimuthal angle,DB temp,RH
0,29.0,8.0,21.0,0.0,-35.97798821538592,260.9648531080097,21.3,28.1
1,19.0,8.0,8.0,679.0,10.776524358578058,68.56585530734166,9.8,59.2
2,8.0,8.0,5.0,0.0,-29.70118405180918,86.52970429495934,9.0,27.5
3,21.0,5.0,3.0,0.0,-55.350047098973704,95.77263649719845,13.6,46.2
4,17.0,7.0,17.0,0.0,10.193072266761689,301.2460613936383,10.4,37.9
5,4.0,8.0,17.0,1.0,12.511040518072363,298.08053140413995,22.0,26.4
6,10.0,5.0,6.0,109.0,-14.993074925111713,78.07769913187822,11.0,90.8
7,15.0,5.0,12.0,48.0,42.244491514915666,10.182094933215701,18.9,51.2
8,18.0,1.0,17.0,0.0,32.26674272958097,262.3402202600818,33.5,26.9
9,26.0,9.0,15.0,326.0,44.15765957914738,300.2189931443896,31.0,10.1
10,5.0,4.0,17.0,107.0,18.504786964546895,287.56825496664635,24.6,33.1
11,21.0,2.0,1.0,0.0,-50.58130455828834,175.97234645502613,27.1,35.9
12,20.0,6.0,8.0,889.0,5.561442656644402,59.500179257104115,10.5,61.6
13,11.0,10.0,0.0,0.0,-54.47290251416902,170.52183602249787,12.0,34.9
14,2.0,9.0,22.0,0.0,-48.24270762615288,248.77330172893394,14.9,28.3
15,4.0,3.0,21.0,0.0,-24.8061427876482,246.54237858088177,23.5,32.4
16,18.0,7.0,8.0,797.0,5.884982811993353,61.99683811333398,11.4,45.6
17,16.0,7.0,19.0,0.0,-13.967109575111138,287.17373695200354,9.3,55.3
18,11.0,8.0,10.0,856.0,31.241122011122236,46.698227283979975,20.7,19.9
19,7.0,5.0,5.0,0.0,-27.72710893967455,85.3395724675448,10.6,80.2
20,25.0,12.0,19.0,0.0,5.935830467044369,246.55270780652756,25.4,15.7
21,9.0,3.0,21.0,0.0,-26.157042189942274,248.1116929129562,27.1,13.7
22,11.0,12.0,8.0,963.0,29.88613430566889,101.48096613989668,28.4,10.5
23,17.0,9.0,9.0,984.0,30.829552995151907,67.36637876964579,23.5,10.5
24,30.0,1.0,10.0,1020.0,50.060893248548666,84.05638372454862,32.6,14.0
25,30.0,12.0,23.0,0.0,-33.19144802292439,207.04144749981018,26.0,34.6
26,18.0,5.0,22.0,0.0,-54.286271581126584,263.75117810331056,18.0,50.7
27,13.0,1.0,3.0,0.0,-30.08543724808561,143.00489890877455,25.5,29.9
28,15.0,4.0,22.0,0.0,-48.805248472729886,250.36189182517134,22.0,28.0
29,27.0,5.0,1.0,0.0,-80.36894039162351,138.07421214186624,15.8,49.2
30,30.0,7.0,4.0,0.0,-43.92754744119188,90.86147686880977,8.5,30.2
31,24.0,10.0,9.0,1032.0,40.45648438718413,80.39770105806281,26.0,13.5
32,2.0,5.0,8.0,0.0,11.056211638286968,65.91010365855622,19.5,38.2
33,9.0,6.0,20.0,0.0,-28.72437989869138,281.93102040319866,8.8,38.7
34,28.0,2.0,12.0,511.0,66.7630513693999,31.924506256660315,34.2,25.1
35,6.0,1.0,0.0,0.0,-37.98369849232431,167.97200400819298,25.5,15.0
36,16.0,3.0,19.0,0.0,-2.3243809279725696,266.38918218262273,25.6,24.8
37,29.0,7.0,14.0,769.0,38.934177831141085,336.05837028664587,23.8,13.5
38,27.0,1.0,21.0,0.0,-17.514034095881897,236.41053765598843,29.3,11.5
39,11.0,2.0,16.0,325.0,43.859258861346106,277.56740590319146,36.6,24.6
40,28.0,1.0,16.0,837.0,45.16655913070994,272.0536521360558,35.7,10.1
41,8.0,2.0,22.0,0.0,-30.024231261724864,228.74823467319555,28.1,38.8
42,19.0,2.0,1.0,0.0,-49.870352939217696,176.10171476070906,19.1,15.5
43,22.0,6.0,10.0,434.0,25.737912375961827,40.15687744577661,12.5,75.1
44,29.0,3.0,12.0,361.0,56.96542856887227,18.98611069378919,25.8,39.4
45,12.0,9.0,10.0,812.0,40.75987653931704,54.06382131799063,22.6,20.3
46,28.0,10.0,20.0,0.0,-14.982102994600567,246.04484242311366,22.5,39.7
47,12.0,11.0,4.0,0.0,-19.782706188751376,123.88805971170638,13.8,56.7
48,3.0,6.0,20.0,0.0,-28.712939153302244,281.13200864166186,12.8,29.1
49,3.0,5.0,4.0,0.0,-40.51092110773743,93.78246773655343,17.1,66.2
50,22.0,10.0,5.0,451.0,-11.934822052950395,109.30907978468112,14.6,9.3
51,19.0,6.0,19.0,0.0,-15.788121769181913,288.4549042422185,10.2,47.4
52,22.0,4.0,5.0,0.0,-26.231393812146507,90.33316636982815,9.6,49.6
53,22.0,1.0,7.0,853.0,12.124586727326033,106.1962623676313,24.0,33.5
54,11.0,12.0,20.0,0.0,-7.29415635797703,238.9370855592509,25.9,18.1
55,11.0,10.0,23.0,0.0,-49.68170536571887,212.56969718701103,18.6,16.1
56,22.0,4.0,15.0,870.0,36.405954243217785,313.75508840664656,24.2,21.0
57,11.0,9.0,23.0,0.0,-57.85775736618899,227.1825613607324,12.3,20.8
58,8.0,6.0,9.0,863.0,17.26041223425713,50.9731307886809,11.2,73.9
59,11.0,7.0,3.0,0.0,-58.04546856041617,93.21688172420279,8.6,42.1
60,22.0,8.0,15.0,500.0,36.95443169548707,314.9587256103355,21.2,27.1
61,14.0,3.0,16.0,304.0,37.15470982112352,289.8872074917592,33.2,16.7
62,17.0,4.0,9.0,985.0,25.23317160250066,61.462430911613566,13.9,52.3
63,12.0,2.0,4.0,0.0,-27.44442714225339,126.24624966804227,26.0,39.0
64,5.0,2.0,11.0,1007.0,61.95457475780358,69.86723448306282,35.5,11.4
65,11.0,6.0,7.0,455.0,-5.62266192402258,66.80772487391543,8.8,47.9
66,20.0,9.0,12.0,856.0,59.2449791429962,14.2361100894847,37.0,6.9
67,27.0,3.0,23.0,0.0,-54.32763320243305,227.28054324873025,22.8,57.5
68,7.0,12.0,6.0,829.0,4.900340357310768,112.97909767372842,22.9,10.3
69,15.0,9.0,16.0,33.0,30.537080344687247,293.4903773445869,29.1,20.3
70,7.0,2.0,13.0,501.0,76.86807626993117,348.96669288759784,36.5,16.6
71,21.0,7.0,19.0,0.0,-13.503401629250362,286.41320603442296,9.5,55.6
72,2.0,7.0,16.0,186.0,19.28331420937735,311.53752577606565,16.3,32.9
73,19.0,10.0,2.0,0.0,-44.94245321179051,144.1082347971505,15.4,43.7
74,8.0,12.0,8.0,962.0,30.054582103052404,101.0364624321032,30.9,24.5
75,28.0,4.0,8.0,692.0,11.6291561439254,67.03940966960971,21.6,49.8
76,14.0,6.0,23.0,0.0,-67.9328665765712,261.71892509202775,6.2,61.0
77,23.0,3.0,17.0,11.0,22.04679490796292,283.57796675670505,30.9,26.4
78,9.0,8.0,15.0,794.0,34.17583530220906,318.6227626360187,23.1,17.8
79,20.0,10.0,13.0,1039.0,69.28786953896712,331.3009716070415,27.9,15.1
80,6.0,4.0,17.0,0.0,18.23614340300729,287.8616357095352,27.4,23.0
81,14.0,4.0,16.0,525.0,28.110732075513724,299.58662330608547,27.6,27.2
82,24.0,8.0,4.0,0.0,-40.00951549480686,99.27132775960924,4.7,69.9
83,10.0,11.0,21.0,0.0,-23.73517610668486,233.16914258481307,16.6,29.8
84,2.0,6.0,13.0,955.0,39.033939393392195,352.01626276442516,21.7,20.0
85,30.0,12.0,1.0,0.0,-38.03352599912006,173.52458612028826,22.7,33.8
86,23.0,11.0,8.0,975.0,30.313627307996008,97.8616599561011,30.0,24.7
87,3.0,2.0,5.0,135.0,-14.38467460898292,118.55747637123442,20.4,28.8
88,26.0,8.0,17.0,43.0,15.532562456938109,291.77330732713324,21.5,21.7
89,7.0,12.0,2.0,0.0,-34.35320078188343,153.91394937546738,18.1,12.8
90,16.0,5.0,4.0,0.0,-41.737883290780616,89.45091106586393,12.3,85.0
91,19.0,8.0,14.0,839.0,44.090272633333484,332.1490465037436,15.6,30.8
92,23.0,2.0,20.0,0.0,-10.284019183495388,252.43362559144788,27.3,49.6
93,16.0,6.0,9.0,930.0,16.61522622706589,50.8005486265075,12.6,52.2
94,15.0,1.0,0.0,0.0,-39.09859412555227,166.61017967020862,25.6,13.0
95,28.0,1.0,9.0,1005.0,37.18258696809921,92.27281267157032,30.7,15.9
96,29.0,3.0,22.0,0.0,-44.067868585562366,243.84551786931397,23.8,50.3
97,15.0,6.0,12.0,981.0,37.5287400263078,10.34171763373184,16.1,37.9
98,3.0,6.0,12.0,956.0,38.674831838784826,9.920560259843217,22.8,20.1
99,18.0,10.0,3.0,0.0,-36.109645855612,128.48390148184265,17.9,52.8
100,27.0,4.0,5.0,0.0,-26.738377706405274,88.55925344039011,14.0,50.5
101,22.0,2.0,11.0,812.0,58.6879791382741,60.44854196622783,30.8,34.1
102,22.0,5.0,21.0,0.0,-41.38350690281135,272.6196021219813,16.2,40.9
103,5.0,11.0,8.0,1031.0,29.116949759224326,92.4907574829799,21.7,26.0
104,6.0,2.0,2.0,0.0,-42.48138458873842,156.76117038276007,22.7,27.5
105,7.0,9.0,13.0,846.0,54.51364065478324,348.6907127159792,32.4,5.9
106,29.0,5.0,20.0,0.0,-28.60104842977438,280.29353353353645,8.2,31.1
107,19.0,4.0,8.0,0.0,12.906835928817316,69.85234016269543,12.1,48.5
108,13.0,4.0,22.0,0.0,-48.29882079373874,249.55764507872738,20.6,33.8
109,20.0,11.0,22.0,0.0,-31.072911294854862,219.65265264509532,20.3,42.0
110,20.0,12.0,14.0,1024.0,69.86871531655459,279.62532203416356,35.9,13.2
111,7.0,6.0,2.0,0.0,-69.80897919364722,101.82022008786122,10.9,26.0
112,6.0,10.0,9.0,939.0,36.30983686118882,73.60460441133922,19.6,34.9
113,30.0,10.0,18.0,0.0,10.555352428155715,260.30486148296313,28.2,22.7
114,27.0,6.0,20.0,0.0,-28.10215094750511,282.8237058546089,7.8,42.3
115,30.0,7.0,14.0,751.0,39.14970125994821,335.9384578970187,23.8,13.5
116,20.0,11.0,1.0,0.0,-41.15350501438479,167.98980224371093,17.4,30.4
117,8.0,9.0,16.0,543.0,29.45673693952005,296.3819705516941,22.3,21.0
118,31.0,1.0,19.0,0.0,5.9253540075019515,253.14779052402002,33.0,25.3
119,10.0,9.0,13.0,903.0,55.5705261300616,347.8779829904986,28.4,6.6
