,Day,Month,Hour,DNI (w/m^2),Elavation angle,Azimuthal angle,DB temp,RH,Solar field design power,Tower height,Max allowable flux,H:D ratio,n_panel
0,4.0,3.0,9.0,912.0,32.11664187254504,79.47321036049259,26.1,21.5,502.38197656080735,241.72812883844472,0.9091505829952664,0.9726439477964286,1.0
1,4.0,3.0,9.0,912.0,32.11664187254504,79.47321036049259,26.1,21.5,502.38197656080735,241.72812883844472,0.9091505829952664,0.9726439477964286,2.0
2,4.0,3.0,9.0,912.0,32.11664187254504,79.47321036049259,26.1,21.5,502.38197656080735,241.72812883844472,0.9091505829952664,0.9726439477964286,3.0
3,4.0,3.0,9.0,912.0,32.11664187254504,79.47321036049259,26.1,21.5,502.38197656080735,241.72812883844472,0.9091505829952664,0.9726439477964286,4.0
4,4.0,3.0,9.0,912.0,32.11664187254504,79.47321036049259,26.1,21.5,502.38197656080735,241.72812883844472,0.9091505829952664,0.9726439477964286,5.0
5,4.0,3.0,9.0,912.0,32.11664187254504,79.47321036049259,26.1,21.5,502.38197656080735,241.72812883844472,0.9091505829952664,0.9726439477964286,6.0
6,4.0,3.0,9.0,912.0,32.11664187254504,79.47321036049259,26.1,21.5,502.38197656080735,241.72812883844472,0.9091505829952664,0.9726439477964286,7.0
7,4.0,3.0,9.0,912.0,32.11664187254504,79.47321036049259,26.1,21.5,502.38197656080735,241.72812883844472,0.9091505829952664,0.9726439477964286,8.0
8,4.0,3.0,9.0,912.0,32.11664187254504,79.47321036049259,26.1,21.5,502.38197656080735,241.72812883844472,0.9091505829952664,0.9726439477964286,9.0
9,4.0,3.0,9.0,912.0,32.11664187254504,79.47321036049259,26.1,21.5,502.38197656080735,241.72812883844472,0.9091505829952664,0.9726439477964286,10.0
10,4.0,3.0,9.0,912.0,32.11664187254504,79.47321036049259,26.1,21.5,502.38197656080735,241.72812883844472,0.9091505829952664,0.9726439477964286,11.0
11,4.0,3.0,9.0,912.0,32.11664187254504,79.47321036049259,26.1,21.5,502.38197656080735,241.72812883844472,0.9091505829952664,0.9726439477964286,12.0
12,4.0,3.0,9.0,912.0,32.11664187254504,79.47321036049259,26.1,21.5,502.38197656080735,241.72812883844472,0.9091505829952664,0.9726439477964286,13.0
13,4.0,3.0,9.0,912.0,32.11664187254504,79.47321036049259,26.1,21.5,502.38197656080735,241.72812883844472,0.9091505829952664,0.9726439477964286,14.0
14,4.0,3.0,9.0,912.0,32.11664187254504,79.47321036049259,26.1,21.5,502.38197656080735,241.72812883844472,0.9091505829952664,0.9726439477964286,15.0
15,4.0,3.0,9.0,912.0,32.11664187254504,79.47321036049259,26.1,21.5,502.38197656080735,241.72812883844472,0.9091505829952664,0.9726439477964286,16.0
16,4.0,3.0,9.0,912.0,32.11664187254504,79.47321036049259,26.1,21.5,502.38197656080735,241.72812883844472,0.9091505829952664,0.9726439477964286,17.0
17,4.0,3.0,9.0,912.0,32.11664187254504,79.47321036049259,26.1,21.5,502.38197656080735,241.72812883844472,0.9091505829952664,0.9726439477964286,18.0
18,4.0,3.0,9.0,912.0,32.11664187254504,79.47321036049259,26.1,21.5,502.38197656080735,241.72812883844472,0.9091505829952664,0.9726439477964286,19.0
19,4.0,3.0,9.0,912.0,32.11664187254504,79.47321036049259,26.1,21.5,502.38197656080735,241.72812883844472,0.9091505829952664,0.9726439477964286,20.0
20,18.0,5.0,0.0,0.0,-78.33649029479514,139.78002998258805,17.6,56.0,420.28774409816015,197.16814562781752,0.8933173808771007,0.9539648979602582,1.0
21,18.0,5.0,0.0,0.0,-78.33649029479514,139.78002998258805,17.6,56.0,420.28774409816015,197.16814562781752,0.8933173808771007,0.9539648979602582,2.0
22,18.0,5.0,0.0,0.0,-78.33649029479514,139.78002998258805,17.6,56.0,420.28774409816015,197.16814562781752,0.8933173808771007,0.9539648979602582,3.0
23,18.0,5.0,0.0,0.0,-78.33649029479514,139.78002998258805,17.6,56.0,420.28774409816015,197.16814562781752,0.8933173808771007,0.9539648979602582,4.0
24,18.0,5.0,0.0,0.0,-78.33649029479514,139.78002998258805,17.6,56.0,420.28774409816015,197.16814562781752,0.8933173808771007,0.9539648979602582,5.0
25,18.0,5.0,0.0,0.0,-78.33649029479514,139.78002998258805,17.6,56.0,420.28774409816015,197.16814562781752,0.8933173808771007,0.9539648979602582,6.0
26,18.0,5.0,0.0,0.0,-78.33649029479514,139.78002998258805,17.6,56.0,420.28774409816015,197.16814562781752,0.8933173808771007,0.9539648979602582,7.0
27,18.0,5.0,0.0,0.0,-78.33649029479514,139.78002998258805,17.6,56.0,420.28774409816015,197.16814562781752,0.8933173808771007,0.9539648979602582,8.0
28,18.0,5.0,0.0,0.0,-78.33649029479514,139.78002998258805,17.6,56.0,420.28774409816015,197.16814562781752,0.8933173808771007,0.9539648979602582,9.0
29,18.0,5.0,0.0,0.0,-78.33649029479514,139.78002998258805,17.6,56.0,420.28774409816015,197.16814562781752,0.8933173808771007,0.9539648979602582,10.0
30,18.0,5.0,0.0,0.0,-78.33649029479514,139.78002998258805,17.6,56.0,420.28774409816015,197.16814562781752,0.8933173808771007,0.9539648979602582,11.0
31,18.0,5.0,0.0,0.0,-78.33649029479514,139.78002998258805,17.6,56.0,420.28774409816015,197.16814562781752,0.8933173808771007,0.9539648979602582,12.0
32,18.0,5.0,0.0,0.0,-78.33649029479514,139.78002998258805,17.6,56.0,420.28774409816015,197.16814562781752,0.8933173808771007,0.9539648979602582,13.0
33,18.0,5.0,0.0,0.0,-78.33649029479514,139.78002998258805,17.6,56.0,420.28774409816015,197.16814562781752,0.8933173808771007,0.9539648979602582,14.0
34,18.0,5.0,0.0,0.0,-78.33649029479514,139.78002998258805,17.6,56.0,420.28774409816015,197.16814562781752,0.8933173808771007,0.9539648979602582,15.0
35,18.0,5.0,0.0,0.0,-78.33649029479514,139.78002998258805,17.6,56.0,420.28774409816015,197.16814562781752,0.8933173808771007,0.9539648979602582,16.0
36,18.0,5.0,0.0,0.0,-78.33649029479514,139.78002998258805,17.6,56.0,420.28774409816015,197.16814562781752,0.8933173808771007,0.9539648979602582,17.0
37,18.0,5.0,0.0,0.0,-78.33649029479514,139.78002998258805,17.6,56.0,420.28774409816015,197.16814562781752,0.8933173808771007,0.9539648979602582,18.0
38,18.0,5.0,0.0,0.0,-78.33649029479514,139.78002998258805,17.6,56.0,420.28774409816015,197.16814562781752,0.8933173808771007,0.9539648979602582,19.0
39,18.0,5.0,0.0,0.0,-78.33649029479514,139.78002998258805,17.6,56.0,420.28774409816015,197.16814562781752,0.8933173808771007,0.9539648979602582,20.0
40,16.0,4.0,13.0,736.0,51.253013061957404,350.3714928325344,16.3,58.2,508.53558465466887,194.1438623805801,0.8888990546431155,0.9532746944121012,1.0
41,16.0,4.0,13.0,736.0,51.253013061957404,350.3714928325344,16.3,58.2,508.53558465466887,194.1438623805801,0.8888990546431155,0.9532746944121012,2.0
42,16.0,4.0,13.0,736.0,51.253013061957404,350.3714928325344,16.3,58.2,508.53558465466887,194.1438623805801,0.8888990546431155,0.9532746944121012,3.0
43,16.0,4.0,13.0,736.0,51.253013061957404,350.3714928325344,16.3,58.2,508.53558465466887,194.1438623805801,0.8888990546431155,0.9532746944121012,4.0
44,16.0,4.0,13.0,736.0,51.253013061957404,350.3714928325344,16.3,58.2,508.53558465466887,194.1438623805801,0.8888990546431155,0.9532746944121012,5.0
45,16.0,4.0,13.0,736.0,51.253013061957404,350.3714928325344,16.3,58.2,508.53558465466887,194.1438623805801,0.8888990546431155,0.9532746944121012,6.0
46,16.0,4.0,13.0,736.0,51.253013061957404,350.3714928325344,16.3,58.2,508.53558465466887,194.1438623805801,0.8888990546431155,0.9532746944121012,7.0
47,16.0,4.0,13.0,736.0,51.253013061957404,350.3714928325344,16.3,58.2,508.53558465466887,194.1438623805801,0.8888990546431155,0.9532746944121012,8.0
48,16.0,4.0,13.0,736.0,51.253013061957404,350.3714928325344,16.3,58.2,508.53558465466887,194.1438623805801,0.8888990546431155,0.9532746944121012,9.0
49,16.0,4.0,13.0,736.0,51.253013061957404,350.3714928325344,16.3,58.2,508.53558465466887,194.1438623805801,0.8888990546431155,0.9532746944121012,10.0
50,16.0,4.0,13.0,736.0,51.253013061957404,350.3714928325344,16.3,58.2,508.53558465466887,194.1438623805801,0.8888990546431155,0.9532746944121012,11.0
51,16.0,4.0,13.0,736.0,51.253013061957404,350.3714928325344,16.3,58.2,508.53558465466887,194.1438623805801,0.8888990546431155,0.9532746944121012,12.0
52,16.0,4.0,13.0,736.0,51.253013061957404,350.3714928325344,16.3,58.2,508.53558465466887,194.1438623805801,0.8888990546431155,0.9532746944121012,13.0
53,16.0,4.0,13.0,736.0,51.253013061957404,350.3714928325344,16.3,58.2,508.53558465466887,194.1438623805801,0.8888990546431155,0.9532746944121012,14.0
54,16.0,4.0,13.0,736.0,51.253013061957404,350.3714928325344,16.3,58.2,508.53558465466887,194.1438623805801,0.8888990546431155,0.9532746944121012,15.0
55,16.0,4.0,13.0,736.0,51.253013061957404,350.3714928325344,16.3,58.2,508.53558465466887,194.1438623805801,0.8888990546431155,0.9532746944121012,16.0
56,16.0,4.0,13.0,736.0,51.253013061957404,350.3714928325344,16.3,58.2,508.53558465466887,194.1438623805801,0.8888990546431155,0.9532746944121012,17.0
57,16.0,4.0,13.0,736.0,51.253013061957404,350.3714928325344,16.3,58.2,508.53558465466887,194.1438623805801,0.8888990546431155,0.9532746944121012,18.0
58,16.0,4.0,13.0,736.0,51.253013061957404,350.3714928325344,16.3,58.2,508.53558465466887,194.1438623805801,0.8888990546431155,0.9532746944121012,19.0
59,16.0,4.0,13.0,736.0,51.253013061957404,350.3714928325344,16.3,58.2,508.53558465466887,194.1438623805801,0.8888990546431155,0.9532746944121012,20.0
60,8.0,3.0,10.0,958.0,44.120077138155324,67.51429382909596,32.6,14.2,408.01639052737886,140.90169141516384,0.9274695294782621,0.9945507242595598,1.0
61,8.0,3.0,10.0,958.0,44.120077138155324,67.51429382909596,32.6,14.2,408.01639052737886,140.90169141516384,0.9274695294782621,0.9945507242595598,2.0
62,8.0,3.0,10.0,958.0,44.120077138155324,67.51429382909596,32.6,14.2,408.01639052737886,140.90169141516384,0.9274695294782621,0.9945507242595598,3.0
63,8.0,3.0,10.0,958.0,44.120077138155324,67.51429382909596,32.6,14.2,408.01639052737886,140.90169141516384,0.9274695294782621,0.9945507242595598,4.0
64,8.0,3.0,10.0,958.0,44.120077138155324,67.51429382909596,32.6,14.2,408.01639052737886,140.90169141516384,0.9274695294782621,0.9945507242595598,5.0
65,8.0,3.0,10.0,958.0,44.120077138155324,67.51429382909596,32.6,14.2,408.01639052737886,140.90169141516384,0.9274695294782621,0.9945507242595598,6.0
66,8.0,3.0,10.0,958.0,44.120077138155324,67.51429382909596,32.6,14.2,408.01639052737886,140.90169141516384,0.9274695294782621,0.9945507242595598,7.0
67,8.0,3.0,10.0,958.0,44.120077138155324,67.51429382909596,32.6,14.2,408.01639052737886,140.90169141516384,0.9274695294782621,0.9945507242595598,8.0
68,8.0,3.0,10.0,958.0,44.120077138155324,67.51429382909596,32.6,14.2,408.01639052737886,140.90169141516384,0.9274695294782621,0.9945507242595598,9.0
