,Day,Month,Hour,DNI (w/m^2),Elavation angle,Azimuthal angle,DB temp,RH,Solar field design power,Tower height,Max allowable flux,H:D ratio
0,4.0,3.0,9.0,912.0,32.11664187254504,79.4732103604926,26.1,21.5,502.38197656080735,241.72812883844472,0.9091505829952665,0.9726439477964286
1,18.0,5.0,0.0,0.0,-78.33649029479514,139.78002998258805,17.6,56.0,420.28774409816015,197.16814562781752,0.8933173808771007,0.9539648979602582
2,16.0,4.0,13.0,736.0,51.253013061957404,350.37149283253433,16.3,58.2,508.53558465466887,194.14386238058006,0.8888990546431155,0.9532746944121012
3,8.0,3.0,10.0,958.0,44.12007713815533,67.51429382909595,32.6,14.2,408.0163905273789,140.90169141516384,0.927469529478262,0.9945507242595598
4,3.0,11.0,20.0,0.0,-13.87482331631665,244.36094030667715,25.8,16.4,317.4460410572385,208.5975173366818,0.9442969380847985,0.9200850261027977
5,11.0,10.0,14.0,354.0,58.18926497587299,308.68462511975656,32.1,7.9,304.46033905851004,154.0456266966273,0.9554411261754563,0.9600755859833808
6,27.0,1.0,7.0,820.0,11.329620900644528,105.23920808040451,25.3,15.1,312.8991177471384,156.67070870673206,0.9139717783779712,0.9060152296655293
7,16.0,5.0,19.0,0.0,-14.868035154447824,283.7133964864432,19.8,57.0,409.17683186406555,185.52453520149845,0.9629206821597928,0.9838487987959903
8,28.0,5.0,21.0,0.0,-41.64337933270923,274.0713678589267,7.9,47.8,659.9367304007269,222.53151325831593,0.9450950820009733,0.9447941352032981
9,2.0,8.0,23.0,0.0,-64.43988213736878,251.38382765490314,14.1,35.2,512.678546420789,178.78390658317937,0.955757187024395,0.9614651795114989
10,10.0,8.0,22.0,0.0,-50.84050955370677,259.9552075481601,14.6,23.7,609.3458227625803,258.93248145165956,0.8900311982543707,0.9142645263713112
11,29.0,6.0,14.0,641.0,34.63817475499143,337.1635058840723,24.9,24.3,584.0177039713399,193.80861852777105,0.9734513419525782,0.9689441433412574
12,7.0,6.0,15.0,427.0,27.92738780698088,321.6207049523011,22.9,16.1,536.0331512814032,199.00049951546282,0.9133264829120995,0.952256098152231
13,12.0,6.0,2.0,0.0,-70.16755497993978,100.86757931135168,8.6,43.4,422.5382365356897,198.55704654817157,0.8845296373817718,0.987191911877371
14,1.0,4.0,1.0,0.0,-65.27455151493157,167.98901490310234,23.7,39.1,516.0629287476474,223.30482394810775,0.9410486250470455,0.9255588857088309
15,6.0,1.0,7.0,929.0,14.501625252639698,108.12066687654756,25.6,16.6,666.170101683013,147.24090156402318,0.9134853004542044,0.8933908266390992
16,19.0,8.0,11.0,922.0,41.984367724968365,33.412995138501145,13.7,40.3,643.9902013694362,158.49948244915223,0.9543288324668999,0.8843213866646679
17,2.0,6.0,8.0,891.0,6.9940245839572555,60.17735167719124,11.9,45.1,546.7642586491063,235.06013763356583,0.9393868951148695,0.8987372851786778
18,24.0,11.0,3.0,0.0,-28.150570937857935,137.66994128812865,22.8,30.2,484.37849600168994,245.46846189554742,0.9826125052015645,0.8902703034609389
19,20.0,11.0,9.0,1046.0,43.38248259672201,90.53264946769261,26.3,35.3,381.9731928216781,254.30351868677946,0.9481274465113131,0.8841705374953384
20,21.0,12.0,17.0,542.0,30.667983110815705,258.2327481473415,34.6,14.3,343.49900573950987,181.45361407445316,0.9863280081018602,0.9621451398416712
21,21.0,1.0,0.0,0.0,-40.1522350945755,165.69264683246294,27.2,44.7,509.0992065916994,153.61821453577883,0.936351803332124,0.9055331756103583
22,17.0,12.0,12.0,1069.0,81.17257992982258,55.924272147680774,32.3,16.5,694.1714062362571,226.70537951136984,0.8962927167179405,0.993680460576007
23,18.0,8.0,12.0,487.0,47.03056018799733,14.211671588877076,21.5,26.7,421.8932655951671,202.12273994937638,0.9220733689971822,0.9756393066227635
24,27.0,10.0,7.0,54.0,14.697600194249091,96.39264356604897,24.3,49.9,363.8784109793551,144.12959579616435,0.96695137351006,0.8833978581575045
25,29.0,7.0,10.0,871.0,28.486772413153922,44.326484640761805,21.1,20.9,389.344498173106,232.12258329145055,0.9433878847413739,0.930622416601323
26,25.0,7.0,18.0,0.0,-0.6568730160768439,292.35726846975274,9.7,18.3,344.31204206503014,237.54113692845777,0.9306004675082086,0.9147446390641385
27,30.0,11.0,16.0,791.0,41.12079511685935,265.43272759806837,32.5,13.3,483.92111808925745,230.65625560632301,0.9707107181234375,0.9733211157095998
